,TARGET,Pred
42458,0,0.7004825761854926
29441,0,0.43357971437419573
268193,0,0.502444198893852
271641,0,0.5351174019113177
19781,1,0.42831388210792837
200804,0,0.18756039150865542
174023,0,0.687897857434213
284507,1,0.5287966911699534
6272,1,0.4942037994125791
261349,0,0.24173192491596562
292805,0,0.6492344480761559
209036,0,0.2759921620981399
232752,0,0.3723534952686667
76178,0,0.4279243737992844
35990,0,0.4570120076373968
34838,0,0.41061341227230186
214937,0,0.5905141217528264
295794,0,0.7791617206977454
60017,0,0.38257339643363675
286449,0,0.3574063750165175
3886,0,0.565110014386727
144404,0,0.1558020234565211
6453,0,0.6867290892319752
212476,0,0.3266166761450327
243265,0,0.37943845775740426
156294,0,0.7612844632053146
24065,0,0.7827726706662925
157715,0,0.4180225173892841
166772,0,0.2894947674931947
263405,0,0.25708063100490547
24748,0,0.29249447170525716
91753,0,0.17852323887206442
40474,1,0.28720325179011513
275945,0,0.46075374543088793
45542,0,0.4468747922261836
167327,0,0.8244061062089948
194836,0,0.5767033314705862
88466,0,0.5583382072796524
14890,0,0.4671977987011421
257300,0,0.49721114410367734
204834,0,0.28648154109974927
207520,0,0.4376172490484822
206296,0,0.6631642869964547
6403,0,0.8491827955980586
35230,0,0.19889011918574784
43707,0,0.38425968236791264
142736,0,0.39622550055735906
229580,0,0.3973255231636934
130788,0,0.2679829293229623
72495,0,0.43777043522235287
206820,0,0.6927653543970055
142646,0,0.5627961659277846
288533,0,0.36844887121702075
221713,0,0.2569267347293999
229304,0,0.308898756797425
164096,0,0.6870426473212425
226629,0,0.32772734879424104
189315,0,0.657955176234479
190489,0,0.41052260152904585
241496,0,0.23531582004493035
194650,0,0.33579809662017074
186681,0,0.7732830296171596
121907,0,0.2916947437084273
38967,0,0.47650936974165903
249419,1,0.5572150777455821
204632,0,0.12100595696173468
223684,1,0.4848422413822247
205877,0,0.5214682290965784
176941,0,0.3244655669745089
270939,0,0.31356355243203754
263909,1,0.4816167358616189
255229,0,0.39144321006857263
183297,0,0.3249287097652877
224193,0,0.3138189014624207
232316,0,0.10622226364399356
294679,0,0.7744749895966053
35816,0,0.45969337138928945
63564,0,0.26527403617353096
162042,0,0.7252667813168511
159903,0,0.30192159948929914
276457,0,0.35735796822352583
224126,0,0.33811218823007594
207455,0,0.6670803295780661
117336,0,0.4610650591064159
224640,0,0.6176211387729746
94526,0,0.4062917246231323
63844,0,0.2206177104701977
201442,0,0.2018573438557786
296964,0,0.6930805826368067
83616,0,0.44976779412489704
173081,0,0.2801931154625789
281755,0,0.626702978080561
120881,0,0.42773756300162064
29903,0,0.6097597135205846
27576,0,0.42781752618823987
114244,0,0.3125062656253796
231678,0,0.239790140349389
15020,0,0.39941348287144346
301246,0,0.39371086516683995
258567,0,0.37877083316581484
137105,0,0.336593060662082
221711,0,0.1588398284855101
160462,0,0.558323299531547
25034,0,0.6682204091910041
283096,0,0.4038861887607753
247898,0,0.42665280499651775
4905,0,0.3512582809225121
50190,0,0.3147952183939268
27878,0,0.6487645409336953
289426,0,0.18675316115857615
206520,0,0.5526298182663397
216083,1,0.39263954734633255
206301,0,0.16481341813835546
143332,0,0.5634740081969354
218593,0,0.43303480805757655
62385,0,0.5153571998693456
